Socioeconomic_status,Grade,Success
Unprivileged,1110,0
Unprivileged,1120,0
Unprivileged,1130,0
Unprivileged,1140,1
Unprivileged,1150,0
Unprivileged,1160,0
Unprivileged,1162,0
Unprivileged,1164,1
Unprivileged,1166,1
Unprivileged,1168,1
Unprivileged,1170,1
Unprivileged,1180,1
Unprivileged,1190,0
Unprivileged,1200,1
Unprivileged,1210,1
Privileged,1190,0
Privileged,1200,0
Privileged,1210,0
Privileged,1220,0
Privileged,1230,0
Privileged,1240,1
Privileged,1250,1
Privileged,1260,0
Privileged,1270,0
Privileged,1280,1
Privileged,1282,1
Privileged,1284,0
Privileged,1286,1
Privileged,1288,1
Privileged,1290,1
